,Unnamed: 0,Player Nametag,Task 1 Payoff,Task 2 Payoff,Selected As Team,Total Payoff
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,,
38,,,,,,
39,,,,,,
40,,,,,,
41,,,,,,
42,,,,,,
43,,,,,,
44,,,,,,
45,,,,,,
46,,,,,,
47,,,,,,
48,,,,,,
49,,,,,,
50,,,,,,
51,,,,,,
52,,,,,,
53,,,,,,
54,,,,,,
55,,,,,,
56,,,,,,
57,,,,,,
58,,,,,,
59,,,,,,
60,,,,,,
61,,,,,,
62,,,,,,
63,,,,,,
64,,,,,,
65,,,,,,
66,gus3,,,,,
67,,,,,,
68,       round 1,,,,,
69,       round 2,,,,,
70,       round 3,,,,,
71,       round 4,,,,,
72,       round 5,,,,,
73,       round 6,,,,,
74,       round 7,,,,,
75,,,,,,
76,       round 1,,,,,
77,       round 2,,,,,
78,       round 3,,,,,
79,       round 4,,,,,
80,       round 5,,,,,
81,       round 6,,,,,
82,       round 7,,,,,
83,,,,,,
84,       round 1,,,,,
85,       round 2,,,,,
86,       round 3,,,,,
87,       round 4,,,,,
88,       round 5,,,,,
89,       round 6,,,,,
90,       round 7,,,,,
91,,,,,,
92,       round 1,,,,,
93,       round 2,,,,,
94,       round 3,,,,,
95,       round 4,,,,,
96,       round 5,,,,,
97,       round 6,,,,,
98,       round 7,,,,,
99,,,,,,
100,,,,,,
101,,,,,,
102,,,,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,Evan,0.0,2.0,0.0,2.0
135,,Evan,0.0,2.0,0.0,2.0
136,,Evan,0.0,2.0,0.0,2.0
137,,Evan,0.0,2.0,0.0,2.25
138,,Evan,0.0,2.0,1.0,2.25
139,,Evan,0.0,2.0,1.0,2.0
140,,Evan,0.0,2.0,0.0,2.0
141,,,,,,
142,,Evan,0.0,2.0,0.0,2.0
